modele,strategie_desequilibre,threshold,recall,precision,f1,accuracy,roc_auc,pr_auc,tn,fp,fn,tp,clients_alertes
LogisticRegression_random_over,random_over_sampling,0.1,1.0,0.10424118548799183,0.18880148079592782,0.1235,0.737330232761256,0.23748246810991835,43,1753,0,204,1957
LogisticRegression_random_under,random_under_sampling,0.1,1.0,0.10413476263399694,0.18862690707350901,0.1225,0.7287463426350496,0.2317333305187382,41,1755,0,204,1959
LogisticRegression_class_weight,class_weight_balanced,0.1,1.0,0.10386965376782077,0.1881918819188192,0.12,0.7411786540896982,0.24343070465951716,36,1760,0,204,1964
RandomForest_class_weight,class_weight_balanced_subsample,0.1,1.0,0.102,0.1851179673321234,0.102,0.8027206428228307,0.2821707778752929,0,1796,0,204,2000
RandomForest_class_weight,class_weight_balanced_subsample,0.15,0.9901960784313726,0.10990206746463548,0.197845249755142,0.181,0.8027206428228307,0.2821707778752929,160,1636,2,202,1838
LogisticRegression_smote,smote,0.1,0.9803921568627451,0.10526315789473684,0.19011406844106463,0.148,0.7306514476614699,0.2408917819878726,96,1700,4,200,1900
LogisticRegression_random_under,random_under_sampling,0.15,0.9754901960784313,0.10647405029427501,0.1919922817173179,0.1625,0.7287463426350496,0.2317333305187382,126,1670,5,199,1869
LogisticRegression_class_weight,class_weight_balanced,0.15,0.9705882352941176,0.1061662198391421,0.19139681005316578,0.1635,0.7411786540896982,0.24343070465951716,129,1667,6,198,1865
LogisticRegression_random_over,random_over_sampling,0.15,0.9705882352941176,0.10605249062667381,0.19121197489135683,0.1625,0.737330232761256,0.23748246810991835,127,1669,6,198,1867
LogisticRegression_random_under,random_under_sampling,0.2,0.9607843137254902,0.11277330264672036,0.20185375901132852,0.225,0.7287463426350496,0.2317333305187382,254,1542,8,196,1738
LogisticRegression_smote,smote,0.15,0.9558823529411765,0.11123787792355962,0.1992846193152785,0.2165,0.7306514476614699,0.2408917819878726,238,1558,9,195,1753
LogisticRegression_random_under,random_under_sampling,0.25,0.9509803921568627,0.12270714737507907,0.2173669467787115,0.3015,0.7287463426350496,0.2317333305187382,409,1387,10,194,1581
LogisticRegression_random_over,random_over_sampling,0.2,0.9509803921568627,0.11272515979081929,0.20155844155844155,0.2315,0.737330232761256,0.23748246810991835,269,1527,10,194,1721
LogisticRegression_class_weight,class_weight_balanced,0.2,0.946078431372549,0.11260210035005834,0.20125130344108447,0.234,0.7411786540896982,0.24343070465951716,275,1521,11,193,1714
XGBoost_scale_pos_weight,scale_pos_weight,0.1,0.9411764705882353,0.13043478260869565,0.22911694510739858,0.354,0.7915520328398622,0.2750316701985008,516,1280,12,192,1472
LogisticRegression_random_over,random_over_sampling,0.25,0.9411764705882353,0.1245136186770428,0.21993127147766323,0.319,0.737330232761256,0.23748246810991835,446,1350,12,192,1542
LogisticRegression_class_weight,class_weight_balanced,0.25,0.9411764705882353,0.12395093608779859,0.2190530519110097,0.3155,0.7411786540896982,0.24343070465951716,439,1357,12,192,1549
LogisticRegression_smote,smote,0.2,0.9411764705882353,0.1213653603034134,0.21500559910414332,0.299,0.7306514476614699,0.2408917819878726,406,1390,12,192,1582
LogisticRegression_class_weight,class_weight_balanced,0.3,0.9166666666666666,0.13760117733627666,0.23928342930262317,0.4055,0.7411786540896982,0.24343070465951716,624,1172,17,187,1359
LogisticRegression_random_under,random_under_sampling,0.3,0.9166666666666666,0.13570391872278664,0.23640960809102401,0.396,0.7287463426350496,0.2317333305187382,605,1191,17,187,1378
LogisticRegression_smote,smote,0.25,0.9117647058823529,0.1308016877637131,0.22878228782287824,0.373,0.7306514476614699,0.2408917819878726,560,1236,18,186,1422
LogisticRegression_random_over,random_over_sampling,0.3,0.9068627450980392,0.13663220088626293,0.2374839537869063,0.406,0.737330232761256,0.23748246810991835,627,1169,19,185,1354
RandomForest_class_weight,class_weight_balanced_subsample,0.2,0.8921568627450981,0.16163410301953818,0.2736842105263158,0.517,0.8027206428228307,0.2821707778752929,852,944,22,182,1126
LogisticRegression_smote,smote,0.3,0.8921568627450981,0.14606741573033707,0.25103448275862067,0.457,0.7306514476614699,0.2408917819878726,732,1064,22,182,1246
XGBoost_scale_pos_weight,scale_pos_weight,0.15,0.8823529411764706,0.17077798861480076,0.2861685214626391,0.551,0.7915520328398622,0.2750316701985008,922,874,24,180,1054
RandomForest_class_weight,class_weight_balanced_subsample,0.25,0.8725490196078431,0.2236180904522613,0.356,0.678,0.8027206428228307,0.2821707778752929,1178,618,26,178,796
XGBoost_scale_pos_weight,scale_pos_weight,0.2,0.8725490196078431,0.2119047619047619,0.34099616858237547,0.656,0.7915520328398622,0.2750316701985008,1134,662,26,178,840
LogisticRegression_class_weight,class_weight_balanced,0.35,0.8725490196078431,0.15600350569675722,0.26468401486988846,0.5055,0.7411786540896982,0.24343070465951716,833,963,26,178,1141
LogisticRegression_random_over,random_over_sampling,0.35,0.8676470588235294,0.15377932232841007,0.2612546125461255,0.4995,0.737330232761256,0.23748246810991835,822,974,27,177,1151
LogisticRegression_random_under,random_under_sampling,0.35,0.8627450980392157,0.14789915966386555,0.25251076040172166,0.479,0.7287463426350496,0.2317333305187382,782,1014,28,176,1190
XGBoost_scale_pos_weight,scale_pos_weight,0.25,0.8578431372549019,0.23178807947019867,0.36496350364963503,0.6955,0.7915520328398622,0.2750316701985008,1216,580,29,175,755
RandomForest_class_weight,class_weight_balanced_subsample,0.3,0.8529411764705882,0.24403927068723702,0.37949836423118866,0.7155,0.8027206428228307,0.2821707778752929,1257,539,30,174,713
RandomForest_baseline,aucun_reequilibrage,0.1,0.8529411764705882,0.23355704697986576,0.3667017913593256,0.6995,0.7999830778636622,0.3124981121148982,1225,571,30,174,745
LogisticRegression_smote,smote,0.35,0.8382352941176471,0.1574585635359116,0.2651162790697674,0.526,0.7306514476614699,0.2408917819878726,881,915,33,171,1086
XGBoost_scale_pos_weight,scale_pos_weight,0.3,0.8284313725490197,0.23903818953323905,0.37102085620197583,0.7135,0.7915520328398622,0.2750316701985008,1258,538,35,169,707
RandomForest_class_weight,class_weight_balanced_subsample,0.35,0.8186274509803921,0.2617554858934169,0.39667458432304037,0.746,0.8027206428228307,0.2821707778752929,1325,471,37,167,638
